Question;Answer
"Comment trouver la laverie Wash.ME la plus proche ?";"Avec plus de 7 000 laveries en Europe, nous sommes présents sur les parkings de supermarchés, stations-services et centres commerciaux. Pour trouver la vôtre, ouvrez la carte dans l'application ou sur notre site !"
"Quels sont les horaires d'ouverture des laveries Wash.ME ?";"La plupart sont accessibles 24h/24 et 7j/7. Toutefois, certaines sont soumises aux horaires d'ouverture du magasin ou de l'enseigne hôte. Référez-vous aux horaires du magasin pour être sûr."
"L'utilisation d'une laverie Wash.ME est-elle autonome ?";"Oui, elles fonctionnent en libre-service. L'interface tactile vous guide de la sélection de la machine au paiement. Nos techniciens assurent régulièrement la maintenance pour garantir un service optimal."
"Où sont conçues les laveries automatiques Wash.ME ?";"Elles sont conçues en France, dans notre technocentre à Echirolles près de Grenoble, par KIS (branche R&D de ME Group). Plus de 15 000 m² sont dédiés à l'innovation et à l'amélioration continue de nos solutions."
"Quelles précautions prendre pour m'assurer que mon linge est bien lavé ?";"Videz les poches, évitez l'excès de saletés (boue, peinture), ne surchargez pas le tambour et fermez bien la porte. Laissez la machine propre après votre passage pour les utilisateurs suivants."
"Comment m'assurer que mon linge ne sera pas volé si je m'absente ?";"Soyez présent à la fin du cycle. La porte de la machine à laver est verrouillée pendant le cycle, mais celle du sèche-linge reste déverrouillable pour des raisons de sécurité. Nous vous recommandons de rester à proximité."
"Peut-on utiliser de l'assouplissant dans un lave-linge Wash.ME ?";"La lessive est incluse. L'assouplissant et le désinfectant sont proposés en option lors de la commande. Nous déconseillons d'ajouter vos propres produits, car cela pourrait nuire à l'efficacité du système préprogrammé."
"Quelles sont les températures de lavage disponibles ?";"15°C Délicat (soie, laine) ; 40°C Normal (linge quotidien, couleurs) ; 60°C Intensif (couettes, draps, coton blanc) pour éliminer microbes et taches tenaces."
"Combien de temps dure un cycle de lavage ?";"En règle générale, un cycle dure environ 35 minutes. Cela peut varier légèrement selon la température et les options sélectionnées."
"Quel type de linge puis-je laver dans une laverie Wash.ME ?";"Tout type de linge (vêtements, couettes, tapis, rideaux). Attention : respectez les étiquettes de lavage. Il est strictement interdit de laver le linge ou les accessoires d'animaux de compagnie."
"Dois-je apporter ma propre lessive ?";"Non, ce n'est pas nécessaire. Nos laveries injectent automatiquement une lessive hypoallergénique et écologique certifiée Ecolabel, incluse dans le prix de votre cycle."
"Est-il nécessaire de patienter jusqu'à la fin du cycle de séchage ?";"Oui, il est recommandé de rester à proximité car les portes des sèche-linges ne se verrouillent pas (sécurité). Le hublot peut être ouvert à tout moment, ce qui interrompt l'efficacité du séchage."
"Combien de temps dure un cycle de séchage ?";"Pour les machines 18-20 kg : de 20 à 80 min (par paliers de 20 min). Pour les machines 12 kg : de 15 à 90 min (par paliers de 15 min). Suivez les recommandations affichées sur la machine."
"Quel type de linge puis-je sécher ?";"Vêtements, linge de lit, serviettes. Interdiction stricte de sécher le linge d'animaux ou du linge présentant des taches de gras (risque d'incendie)."
"Peut-on payer sans contact dans une laverie Wash.ME ?";"Oui, toutes nos laveries sont équipées d'un terminal de paiement (TPE) acceptant le sans contact par carte bancaire ou smartphone. Vérifiez les modes affichés avant de charger votre linge."
